order_id,return_date,tracking_id,platformID,sku,return_reason,return_sub_reason,return_delivery_date,platform,reason_category
RT102465694,2023-03-12,8905740000000.0,465631000000.0,LWHK2207,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT102459828,2023-03-12,8905370000000.0,462340000000.0,LWDB16174097,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102459828,2023-03-12,8905370000000.0,462278000000.0,LWSB20213016,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102459715,2023-03-12,8905370000000.0,462501000000.0,FLYSB202102,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT102472127,2023-03-12,8905370000000.0,462400000000.0,LWHK2020105,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT102459334,2023-03-12,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102076147,2023-03-12,8905370000000.0,462492000000.0,FLYDB20214003,Others,Size is smaller than expected,0,AJ,Other reasons
RT102423812,2023-03-12,8905740000000.0,465631000000.0,LWHK2207,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT102426070,2023-03-12,8905370000000.0,462317000000.0,LWDB16174098,Size/Colour Issue,Size is smaller than expected,0,AJ,Color Issues
RT102385943,2023-03-12,8905370000000.0,462520000000.0,LWBP20213016,Size/Colour Issue,Want to change style color,0,AJ,Color Issues
RT102371743,2023-03-12,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102367738,2023-03-12,8905370000000.0,462211000000.0,LWSB20213025,Size/Colour Issue,Size is smaller than expected,0,AJ,Color Issues
RT102362845,2023-03-12,8905370000000.0,462314000000.0,LWOB16171149,Others,Ordered by mistake,0,AJ,Other reasons
RT102366226,2023-03-11,8905370000000.0,462400000000.0,FLYBP202102,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102361275,2023-03-11,8905740000000.0,465631000000.0,LWHK2207,Defective/Damage Product received,Received defective merchandise,0,AJ,Product Quality
RT102329872,2023-03-11,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102313791,2023-03-11,8905370000000.0,462504000000.0,LWBP20213036,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT102258951,2023-03-11,8905370000000.0,462317000000.0,LWDB16174098,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102280582,2023-03-11,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102311082,2023-03-11,8905740000000.0,465631000000.0,LWHK2207,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT102296142,2023-03-11,8905370000000.0,462504000000.0,LWBP20213036,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT102286114,2023-03-11,8905370000000.0,462501000000.0,FLYSB202106,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT102279121,2023-03-11,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102241789,2023-03-11,8905370000000.0,462317000000.0,LWDB16174098,Size/Colour Issue,Size is smaller than expected,0,AJ,Color Issues
RT102251318,2023-03-11,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102257070,2023-03-11,8905370000000.0,462314000000.0,LWOB16171124,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102242500,2023-03-11,8905470000000.0,462591000000.0,LWOB202103,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT102242500,2023-03-11,8905370000000.0,462418000000.0,LWOB19201079,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT102218957,2023-03-11,8905740000000.0,465631000000.0,LWHK2207,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT102224365,2023-03-11,8905470000000.0,462591000000.0,LWOB2021004,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102222272,2023-03-11,8905370000000.0,462418000000.0,LWOB19201079,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102226030,2023-03-11,8905470000000.0,462588000000.0,FLYOB202101,Size/Colour Issue,Does not fit well,0,AJ,Color Issues
RT102193971,2023-03-11,8905470000000.0,463085000000.0,LWDB214103,Defective/Damage Product received,Received damaged,0,AJ,Product Quality
RT102216036,2023-03-11,8905370000000.0,462314000000.0,LWOB16171149,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102169653,2023-03-10,8905370000000.0,462520000000.0,LWBP20213016,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102161344,2023-03-10,8905370000000.0,462317000000.0,LWDB16174098,Size/Colour Issue,Size is smaller than expected,0,AJ,Color Issues
RT102149625,2023-03-10,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102159402,2023-03-10,8905370000000.0,462389000000.0,LWBP19203084,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102170034,2023-03-10,8905370000000.0,462423000000.0,LWOB19201083,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT102158195,2023-03-10,8905370000000.0,462504000000.0,LWBP20213026,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT102158195,2023-03-10,8905740000000.0,465631000000.0,LWHK2207,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT102140414,2023-03-10,8905370000000.0,462314000000.0,LWOB16171149,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102133161,2023-03-10,8905370000000.0,462418000000.0,LWOB19201079,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT102047886,2023-03-10,8905740000000.0,465631000000.0,LWHK2207,Size/Colour Issue,Size is larger than expected,0,AJ,Color Issues
RT102090002,2023-03-10,8905370000000.0,462317000000.0,LWDB16174098,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT102043566,2023-03-10,8905370000000.0,462508000000.0,LWBP20213017,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT102030065,2023-03-10,8905740000000.0,465631000000.0,LWHK2207,Defective/Damage Product received,Received damaged,0,AJ,Product Quality
RT101999651,2023-03-10,8905370000000.0,462330000000.0,LWDB16174014,Others,Others,0,AJ,Other reasons
RT101971972,2023-03-10,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT101986584,2023-03-10,8905370000000.0,462314000000.0,LWOB16171149,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101981015,2023-03-09,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101955716,2023-03-09,8905370000000.0,462314000000.0,LWOB16171124,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101952086,2023-03-09,8905370000000.0,462520000000.0,LWBP20213016,Size/Colour Issue,Size is smaller than expected,0,AJ,Color Issues
RT101932334,2023-03-09,8905370000000.0,462309000000.0,LWDB16174096,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101918597,2023-03-09,8905370000000.0,462314000000.0,LWOB16171149,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT101930023,2023-03-09,8905370000000.0,462364000000.0,LWDB19204061,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101830980,2023-03-09,8905370000000.0,462314000000.0,LWOB16171124,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT101842235,2023-03-09,8905370000000.0,462389000000.0,LWBP19203067,Defective/Damage Product received,Received damaged,0,AJ,Product Quality
RT101818748,2023-03-09,8905470000000.0,462591000000.0,LWOB2021004,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT101805315,2023-03-08,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101802027,2023-03-08,8905370000000.0,462317000000.0,LWDB16174098,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101782554,2023-03-08,8905370000000.0,462504000000.0,LWBP20213026,Defective/Damage Product received,Product torn worn out,0,AJ,Product Quality
RT101782554,2023-03-08,8905740000000.0,465631000000.0,LWHK2207,Defective/Damage Product received,Color faded washed out,0,AJ,Product Quality
RT101679595,2023-03-07,8905470000000.0,462591000000.0,LWOB2021004,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT101680358,2023-03-07,8905370000000.0,462314000000.0,LWOB16171149,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101674379,2023-03-07,8905370000000.0,462314000000.0,LWOB16171123,Others,Found better price elsewhere,0,AJ,Other reasons
RT101562536,2023-03-07,8905370000000.0,462314000000.0,LWOB16171149,Wrong Item Shipped,Wrong color delivered,0,AJ,Wrong item delivered
RT101557681,2023-03-07,8905470000000.0,462591000000.0,LWOB2021004,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101564320,2023-03-07,8905370000000.0,462520000000.0,LWBP20213016,Size/Colour Issue,Size is smaller than expected,0,AJ,Color Issues
RT101540912,2023-03-07,8905370000000.0,462418000000.0,LWOB19201072,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101508940,2023-03-06,8905370000000.0,462389000000.0,LWBP19203084,Did not like the product,Did not like color,0,AJ,Customer remorse
RT101486646,2023-03-06,8905370000000.0,462340000000.0,LWDB16174097,Others,Found better price elsewhere,0,AJ,Other reasons
RT101453767,2023-03-06,8905370000000.0,462317000000.0,LWDB16174098,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101405204,2023-03-05,8905470000000.0,462591000000.0,LWOB2021004,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT101393369,2023-03-05,8905370000000.0,462389000000.0,LWBP19203084,Size/Colour Issue,Want to change style color,0,AJ,Color Issues
RT101386496,2023-03-05,8905370000000.0,462314000000.0,LWOB16171149,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101378593,2023-03-05,8905370000000.0,462278000000.0,LWSB20213016,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT101347671,2023-03-05,8905370000000.0,462520000000.0,LWBP20213011,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT100847932,2023-03-04,8905370000000.0,462329000000.0,LWOB16171120,Others,Wrong color delivered,0,AJ,Other reasons
RT101333229,2023-03-04,8905470000000.0,462591000000.0,LWOB202103,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT101280900,2023-03-04,8905470000000.0,462588000000.0,FLYOB202102,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101262960,2023-03-04,8905470000000.0,463085000000.0,LWDB214103,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT101280318,2023-03-04,8905370000000.0,462389000000.0,LWBP19203082,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101262856,2023-03-04,8905370000000.0,462314000000.0,LWOB16171124,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101273418,2023-03-04,8905370000000.0,462504000000.0,LWBP20213001,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT101221086,2023-03-03,8905470000000.0,463085000000.0,LWDB214103,Size/Colour Issue,Size is smaller than expected,0,AJ,Color Issues
RT101144581,2023-03-03,8905370000000.0,462329000000.0,LWOB16171120,Size/Colour Issue,Size is smaller than expected,0,AJ,Color Issues
RT101147402,2023-03-03,8905370000000.0,462314000000.0,LWOB16171149,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT101139599,2023-03-03,8905370000000.0,462314000000.0,LWOB16171149,Size/Colour Issue,Size is larger than expected,0,AJ,Color Issues
RT101132320,2023-03-02,8905370000000.0,462329000000.0,LWOB16171120,Defective/Damage Product received,Received defective merchandise,0,AJ,Product Quality
RT101076340,2023-03-02,8905370000000.0,462291000000.0,LWSB20213019,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT101071074,2023-03-02,8905370000000.0,462389000000.0,LWBP19203084,Received Defective Merchandise,Received defective merchandise,0,AJ,Product Quality
RT101061251,2023-03-02,8905370000000.0,462389000000.0,LWBP19203084,Size/Colour Issue,Want to change style color,0,AJ,Color Issues
RT101050367,2023-03-02,8905370000000.0,462364000000.0,LWDB19204061,Size/Colour Issue,Size is smaller than expected,0,AJ,Color Issues
RT101056231,2023-03-02,8905470000000.0,463085000000.0,LWDB214103,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT101038607,2023-03-02,8905470000000.0,463085000000.0,LWDB214103,Defective/Damage Product received,Received damaged,0,AJ,Product Quality
RT100958497,2023-03-01,8905370000000.0,462309000000.0,LWDB16174096,Others,Product not required anymore,0,AJ,Other reasons
RT100962320,2023-03-01,8905470000000.0,462588000000.0,FLYOB202102,Wrong Item Shipped,Different product delivered,0,AJ,Wrong item delivered
RT100943661,2023-03-01,8905370000000.0,462451000000.0,LWTP202102,Size/Colour Issue,Want to change style color,0,AJ,Color Issues
RT100950117,2023-03-01,8905370000000.0,462329000000.0,LWOB16171120,Others,Bad experience,0,AJ,Other reasons
RT100932449,2023-03-01,8905470000000.0,462588000000.0,FLYOB202102,Size/Colour Issue,Want to change style color,0,AJ,Color Issues
RT100928550,2023-03-01,8905370000000.0,462314000000.0,LWOB16171149,Size/Colour Issue,Size is larger than expected,0,AJ,Color Issues
RT100888773,2023-02-28,8905370000000.0,462504000000.0,LWBP20213001,Wrong Item Shipped,Product not as displayed on website,0,AJ,Wrong item delivered
RT100851473,2023-02-28,8905470000000.0,463085000000.0,LWDB214103,Size/Colour Issue,Size is larger than expected,0,AJ,Color Issues
RT100830804,2023-02-28,8905370000000.0,462389000000.0,FLYBP2101,Others,Found better price elsewhere,0,AJ,Other reasons
RT100826485,2023-02-28,8905370000000.0,462364000000.0,LWDB19204061,Defective/Damage Product received,Product torn worn out,0,AJ,Product Quality
RT100822205,2023-02-27,8905370000000.0,462423000000.0,LWOB19201083,Wrong Item Shipped,Wrong color delivered,0,AJ,Wrong item delivered
RT100781642,2023-02-27,8905370000000.0,462364000000.0,LWDB16174099,Size/Colour Issue,Want to change style color,0,AJ,Color Issues
RT100781378,2023-02-27,8905370000000.0,462520000000.0,LWBP20213012,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT100764339,2023-02-27,8905370000000.0,462317000000.0,LWDB16174098,Size/Colour Issue,Size is smaller than expected,0,AJ,Color Issues
RT100752651,2023-02-27,8905370000000.0,462278000000.0,LWSB20213016,Did not like the product,Not happy with product quality,0,AJ,Customer remorse
RT100723960,2023-02-27,8905740000000.0,465631000000.0,LWHK2207,Did not like the product,Does not look good on me,0,AJ,Customer remorse
RT100735519,2023-02-27,8905370000000.0,462364000000.0,LWDB16174099,Defective/Damage Product received,Received damaged,0,AJ,Product Quality
