Return Order No,Cust Return Created Date,JioCode,SELLER_SKU,EAN,Category,Brand,Return QTY,Return Value,Return Reason,Return Sub reason,Return type,Listing Name,Image URL
RT102169653,Fri Mar 10 22:26:14 IST 2023,4.6252E+11,LWBP20213016,8.90537E+12,Men-Fashion Bags,FLY FASHION,1,475,Did not like the product,Not happy with product quality,RVP,Classic Sling Bag with Zip Closure,https://assets.ajio.com/medias/sys_master/root/20220530/HXVI/6294ac88f997dd03e245b4d7/-462519756-black-MODEL.jpg
RT102161344,Fri Mar 10 21:01:43 IST 2023,4.62317E+11,LWDB16174098,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,534,Size/Colour Issue,Size is smaller than expected,RVP,Textured Overnighter with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/6Zq7/6294ac13aeb26921aff33389/-462316625-brown-MODEL.jpg
RT102149625,Fri Mar 10 20:54:53 IST 2023,4.65631E+11,LWHK2207,8.90574E+12,Men-Backpacks,LEATHER WORLD,1,581,Did not like the product,Not happy with product quality,RVP,Typographic Print Hiking Back Pack,https://assets.ajio.com/medias/sys_master/root/20230120/5Jhx/63c9af66aeb269c651ec6d76/-465631157-black-MODEL.jpg
RT102159402,Fri Mar 10 20:53:57 IST 2023,4.62389E+11,LWBP19203084,8.90537E+12,Men-Backpacks,LEATHER WORLD,1,1008,Did not like the product,Not happy with product quality,RVP,Textured Back Pack with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/dmRi/6294ac49f997dd03e245acd4/-462389200-multi-MODEL.jpg
RT102170034,Fri Mar 10 20:36:26 IST 2023,4.62423E+11,LWOB19201083,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,1310,Did not like the product,Does not look good on me,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/aJIP/6294ac86aeb26921aff342c7/-462422847-brown-MODEL.jpg
RT102158195,Fri Mar 10 20:15:15 IST 2023,4.62504E+11,LWBP20213026,8.90537E+12,Men-Backpacks,FLY FASHION,1,916,Wrong Item Shipped ,Different product delivered,RVP,Colourblock Laptop Back Pack,https://assets.ajio.com/medias/sys_master/root/20220530/NnmE/6294acb3aeb26921aff3485b/-462504189-black-MODEL.jpg
RT102158195,Fri Mar 10 20:15:15 IST 2023,4.65631E+11,LWHK2207,8.90574E+12,Men-Backpacks,LEATHER WORLD,1,581,Wrong Item Shipped ,Different product delivered,RVP,Typographic Print Hiking Back Pack,https://assets.ajio.com/medias/sys_master/root/20230120/5Jhx/63c9af66aeb269c651ec6d76/-465631157-black-MODEL.jpg
RT102140414,Fri Mar 10 18:51:35 IST 2023,4.62314E+11,LWOB16171149,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,824,Did not like the product,Not happy with product quality,RVP,Textured Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/ZlI3/6294ac41aeb26921aff33a05/-462314346-brown-MODEL.jpg
RT102133161,Fri Mar 10 18:00:06 IST 2023,4.62418E+11,LWOB19201079,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,1310,Did not like the product,Not happy with product quality,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/VUkz/6294ac5aaeb26921aff33da1/-462418269-brown-MODEL.jpg
RT102047886,Fri Mar 10 16:20:44 IST 2023,4.65631E+11,LWHK2207,8.90574E+12,Men-Backpacks,LEATHER WORLD,1,581,Size/Colour Issue,Size is larger than expected,RVP,Typographic Print Hiking Back Pack,https://assets.ajio.com/medias/sys_master/root/20230120/5Jhx/63c9af66aeb269c651ec6d76/-465631157-black-MODEL.jpg
RT102090002,Fri Mar 10 16:08:09 IST 2023,4.62317E+11,LWDB16174098,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,534,Did not like the product,Does not look good on me,RVP,Textured Overnighter with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/6Zq7/6294ac13aeb26921aff33389/-462316625-brown-MODEL.jpg
RT102043566,Fri Mar 10 14:46:35 IST 2023,4.62508E+11,LWBP20213017,8.90537E+12,Men-Backpacks,FLY FASHION,1,1050,Wrong Item Shipped ,Different product delivered,RVP,Quilted Laptop Backpack,https://assets.ajio.com/medias/sys_master/root/20220530/nSt5/6294ac82f997dd03e245b425/-462507589-black-MODEL.jpg
