Order ID,Order date,Return request date,Return request status,Amazon RMA ID,Seller RMA ID,Label type,Label cost,Currency code,Return carrier,Tracking ID,Label to be paid by,A-to-z claim,Is prime,ASIN, Merchant SKU,Item Name,Return quantity,Return reason,In policy,Return type,Resolution,Invoice number,Return delivery date,Order Amount,Order quantity,SafeT Action reason,SafeT claim ID,SafeT claim state,SafeT claim creation time,SafeT claim reimbursement amount,Refunded Amount,Category
402-3773028-5076362,13-Jan-23,20-Jan-23,Approved,D6B4yNpTRRMA, ,AmazonPrePaidLabel,414,INR,ATS,5.13563E+11,Seller,N,Y,B07SNP6SZD,PRIME-LWBP19203084,Leather World Vegan Leather Brown14 inch Laptop College Casual Backpack for Women Travel Bag,1,CR-NOT_COMPATIBLE,Y,C-Returns,StandardRefund,IN-12762,27-Jan-23,999,1, , , , , ,999,gl_luggage
402-1196122-6742713,15-Jan-23,20-Jan-23,Approved,DnBPyqpTRRMA, ,AmazonPrePaidLabel,172.5,INR,ATS,5.13563E+11,Seller,N,Y,B07PFV29ZM,PRIME-LWWC16176104B,Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewelry - Blue,1,CR-NOT_COMPATIBLE,Y,C-Returns,StandardRefund,IN-12943,25-Jan-23,699,1, , , , , ,699,gl_home
408-9790938-4654739,14-Jan-23,20-Jan-23,Approved,DDMry2pLRRMA, ,AmazonPrePaidLabel,230,INR,ATS,5.13563E+11,Seller,N,Y,B08LS5WT3J,PRIME-LWWC20216139,Leather World 10 Slots Faux Leather Men Watch Box Acrylic Display Organizer Case Women Storage Jewellery - Brown,1,CR-DEFECTIVE,Y,C-Returns,StandardRefund,IN-12880,27-Jan-23,899,1, , , , , ,899,gl_watch
405-8343502-3583562,18-Jan-23,21-Jan-23,Approved,Dg4Jy7pbRRMA, ,AmazonPrePaidLabel,172.5,INR,ATS,5.13565E+11,Seller,N,Y,B084MK46HJ,PRIME-LWWC16176140,Leather World 6 Slot Vegan Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,CR-QUALITY_UNACCEPTABLE,Y,C-Returns,StandardRefund,IN-13173,27-Jan-23,585,1, , , , , ,551.53,gl_watch
404-3245608-3615543,16-Jan-23,21-Jan-23,Approved, , ,AmazonPrePaidLabel,0, ,ATS,3.21997E+11,Not Computed,N,Y,B07PFV29ZM,PRIME-LWWC16176104B,Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewelry - Blue,2,UND-UNKNOWN,Y,Rejected,StandardRefund,IN-13069,25-Jan-23, , , , , , , , ,gl_home
407-8980459-3623530,15-Jan-23,21-Jan-23,Approved,DXyXyvpPRRMA, ,AmazonPrePaidLabel,552,INR,ATS,5.13565E+11,Seller,N,Y,B08LH752FN,PRIME-LWWC20216115,Leather World 10 Slots PU Leather Men Watch Box Acrylic Display Organizer Case Women Storage Jewellery - Blue,1,AMZ-PG-BAD-DESC,Y,C-Returns,StandardRefund,IN-12940,28-Jan-23,855,1, , , , , ,855,gl_watch
408-3233744-6037954,16-Jan-23,21-Jan-23,Approved,Dgy2ynp2RRMA, ,AmazonPrePaidLabel,345,INR,ATS,5.13565E+11,Seller,N,Y,B0837TDP66,PRIME-LWHK2020102,Leather World Water-Resistant Polyester Convertible Duffel Bag & Rucksack for Men and Women Trekking Bag with Laptop Compartment Black,1,AMZ-PG-APP-TOO-SMALL,Y,C-Returns,StandardRefund,IN-13013,28-Jan-23,806,1, , , , , ,806,gl_luggage
402-7780663-1376317,18-Jan-23,21-Jan-23,Approved,DlyfyhpyRRMA, ,AmazonPrePaidLabel,92,INR,ATS,5.13565E+11,Seller,N,Y,B08NXL9F1P,PRIME-LWBP20213012,Fly Fashion Polyester Travel Cross Body Backpack Shoulder Chest Bag Lightweight Men and Women,1,CR-QUALITY_UNACCEPTABLE,Y,C-Returns,StandardRefund,IN-13153,25-Jan-23,584,1, , , , , ,584,gl_luggage
406-0191086-8825967,16-Jan-23,21-Jan-23,Approved, , ,AmazonPrePaidLabel,0, ,ATS,3.21976E+11,Not Computed,N,Y,B07PV9MFCD,PRIME-LWSB16173015,Leather World Vegan Leather Shoulder Bags Small Vertical Cross Body Messenger Bag Small Water Resistant Satchel for Men and Women Brown,1,UND-UNKNOWN,Y,Rejected,StandardRefund,IN-13044,27-Jan-23, , , , , , , , ,gl_luggage
403-9809625-0673160,17-Jan-23,21-Jan-23,Approved,DR3ZyyppRRMA, ,AmazonPrePaidLabel,172.5,INR,ATS,1.49311E+13,Seller,N,Y,B08LT1D3TY,PRIME-LWWC20216140,Leather World 6 Slot PU Leather Men Watch Box Display Case Organizer Glass Women Jewelry Storage Black,1,CR-UNWANTED_ITEM,Y,C-Returns,StandardRefund,IN-13094,29-Jan-23,585,1, , , , , ,585,gl_watch
171-0315373-8920308,15-Jan-23,21-Jan-23,Approved,D13KyLpQRRMA, ,AmazonPrePaidLabel,172.5,INR,ATS,5.13565E+11,Seller,N,Y,B07PFV29ZM,PRIME-LWWC16176104B,Leather World 8 Slots PU Leather Men Watch Box Acrylic Display Glass Organizer Case Women Storage Jewelry - Blue,1,CR-FOUND_BETTER_PRICE,Y,C-Returns,StandardRefund,IN-12913,27-Jan-23,699,1, , , , , ,699,gl_home
