order_id,order_date,sku,quantity,platformID,platform
403-0182285-9404360,30-04-2023,LWWC20216140,1,B084MK46HJ,A
406-1071507-5121160,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
171-5474103-4923538,30-04-2023,LWWC20216140,1,B084MK46HJ,A
404-4551049-9633903,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
171-3415533-0180332,30-04-2023,LWWC20216140,1,B084MK46HJ,A
403-7808035-8273953,30-04-2023,LWWC20216140,1,B084MK46HJ,A
402-3474549-2685944,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
404-0775758-7032303,30-04-2023,LWWC16176050B,1,B0779969J9,A
403-6312687-1811506,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
402-5921152-3701111,30-04-2023,PRIME-LWHK2020101,2,B0837W9Q6S,A
404-0767363-4137947,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
403-2884939-8396320,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
404-8957362-5205128,30-04-2023,LWWC16176104B,1,B07PFV29ZM,A
171-2610824-1281927,30-04-2023,LWWC20216140,1,B084MK46HJ,A
404-3913001-0189109,30-04-2023,PRIME-LWWC16176094,1,B0779BZV2M,A
405-0364974-7412326,30-04-2023,PRIME-LWHK2020103,1,B0837WB6BT,A
230430-026-073928,30-04-2023,LWSB16173008,1,0,TQ
230430-026-068981,30-04-2023,LWSB16173015,1,0,TQ
OD427970043211274100,30-04-2023,FLYSB202102,1,SLBGFHEYH6QVZWNH,F
OD327968405452842100,30-04-2023,LWHK2020103,1,RKSFNJ8M6Z4FY4YG,F
OD427968287599967100,30-04-2023,LWSB16173008B,1,SLBFEBXAGUBKGHWX,F
OD127969081860519000,30-04-2023,LWSB16173018SP,1,YGGGAH3F4NVRG5PK,F
OD427969571454656100,30-04-2023,LWWC16176104,1,WHBF4YTYVGEGCKQD,F
OD327968287843873100,30-04-2023,LWBP20213015,1,SLBFXHEFG87HTW8T,F
OD327971670762317100,30-04-2023,LWSB16173015,1,SLBFDGZRXW5NBZNU,F
OD427968049544706100,30-04-2023,LWBP20213015,1,SLBFXHEFG87HTW8T,F
OD327971629513629100,30-04-2023,LWSB16173015,1,SLBFDGZRXW5NBZNU,F
OD327969169287698100,30-04-2023,LWWC16176094,1,WHBEYYR6GTRMGWSD,F
FN0720404975,30-04-2023,LWHK2207,1,4.65631E+11,AJ
FN7799300490,30-04-2023,LWSB20213015,1,4.62218E+11,AJ
FN6269302955,30-04-2023,LWSB20213022,1,4.62218E+11,AJ
FN9078308843,30-04-2023,LWWC16176140,1,4.62462E+11,AJ
OD427969217824616100,30-04-2023,LWGW2202,1,BELGGH8Z7KTBEHNV,F
OD427972624276812100,30-04-2023,LWWC216104,1,WHBGFA3MHTSZYEHA,F
OD127970015127963000,30-04-2023,LWSB16173019SP,1,YGGGAH2E989UYKHS,F
OD427969726872934100,30-04-2023,LWWC16176136,1,WHBFNUGKUFUHSPC5,F
OD427969523971003100,30-04-2023,LWDB19204062,1,DFBFMZ89PBVHKMJR,F
OD227969051647577000,30-04-2023,LWSB16173019SP,1,YGGGAH2E989UYKHS,F
OD427972451686702100,30-04-2023,LWWC16176077,1,WHBEUF4YVT8BCRW2,F
OD427968332702163100,30-04-2023,LWBP20213015,1,SLBFXHEFG87HTW8T,F
OD427967762616293100,30-04-2023,LWWC16176135,1,WHBFNUGYJQYSXDCW,F
OD427972334867210100,30-04-2023,LWHK2020103,1,RKSFNJ8M6Z4FY4YG,F
OD227969408416608000,30-04-2023,LWSB16173019SP,1,YGGGAH2E989UYKHS,F
OD427969023411453100,30-04-2023,LWWC161761340,1,WHBFZW48CTH8AFH8,F
OD127969337680783000,30-04-2023,LWWC016176115,1,SWXGARHEECP6JYXG,F
OD427972428969065100,30-04-2023,Middle chain blue,1,SLBGM7XTGJRTFQSF,F
OD227969468308045000,30-04-2023,LWSB16173019SP,1,YGGGAH2E989UYKHS,F
OD327971859330920100,30-04-2023,38LB2210,1,BELGGJXEGGWKFWYK,F
OD427968847235915100,30-04-2023,LWDB19204089,1,DFBFXBFC4QCQYED8,F
OD127972375262751000,30-04-2023,LWSB16173019SP,1,YGGGAH2E989UYKHS,F
OD327971243239172100,30-04-2023,LWWC161761340,1,WHBFZW48CTH8AFH8,F
FN5629304969,30-04-2023,LWHK2207,2,4.65631E+11,AJ
OD227972612232300000,30-04-2023,LWHK2020102SP,1,YCKGAPG6WWSK2PJH,F
FN9040401270,30-04-2023,LWHK2207,1,4.65631E+11,AJ
FN6244303489,30-04-2023,LWOB202103,1,4.62591E+11,AJ
FN9559306906,30-04-2023,LWSB20213009,1,4.62218E+11,AJ
FN6839303878,30-04-2023,FLYSB202102,1,4.62501E+11,AJ
FN7897207498,30-04-2023,LWBP19203082,1,4.62389E+11,AJ
FN7746303769,30-04-2023,LWWC16176140,1,4.62462E+11,AJ
FN9322307151,30-04-2023,LWWC16176140,1,4.62462E+11,AJ
FN4110304718,30-04-2023,LWOB16171149,1,4.62314E+11,AJ
FN0100401626,30-04-2023,LWWC16176140,1,4.62462E+11,AJ
FN7629300006,30-04-2023,LWBP20213013,1,4.62588E+11,AJ
FN7128304232,30-04-2023,LWOB16171149,1,4.62314E+11,AJ
FN1120407677,30-04-2023,LWHK2020104,1,4.62419E+11,AJ
FN5040407823,30-04-2023,LWSB20213015,1,4.62218E+11,AJ
FN7140407118,30-04-2023,LWOB16171149,1,4.62314E+11,AJ
OD227971076774967000,30-04-2023,LWSB16173016SP,1,YGGGATYPGHJV9YR7,F
OD127972288101046000,30-04-2023,LWSB19203024SP,1,YGGGAH5B4RPGZXVY,F
FN2098308115,30-04-2023,LWWC16176140,1,4.62462E+11,AJ
FN7040404814,30-04-2023,LWHK2207,1,4.65631E+11,AJ
FN6949308633,30-04-2023,LWSB20213015,1,4.62218E+11,AJ
FN0800407588,30-04-2023,LWOB19201079,1,4.62418E+11,AJ
FN4340408930,30-04-2023,LWDB19204084,1,4.6233E+11,AJ
FN8268300628,30-04-2023,LWWC16176115,1,4.62462E+11,AJ
FN6010402275,30-04-2023,LWBP20213016,1,4.6252E+11,AJ
FN5008302866,30-04-2023,LWWC16176113,1,4.62462E+11,AJ
FN7189309431,30-04-2023,LWWC16176077,1,4.62462E+11,AJ
FN4040406394,30-04-2023,LWSB20213015,1,4.62218E+11,AJ
FN5040408695,30-04-2023,LWWC16176076,1,4.62462E+11,AJ
FN4578305930,30-04-2023,LWWC16176140,1,4.62462E+11,AJ
FN1930401092,30-04-2023,LWWC16176106,1,4.6247E+11,AJ
FN5389303232,30-04-2023,LWWC16176107,1,4.6247E+11,AJ
FN7040407612,30-04-2023,LWOB16171149,1,4.62314E+11,AJ
FN6745206046,30-04-2023,LWHK2207,1,4.65631E+11,AJ
FN7040401687,30-04-2023,LWWC16176140,1,4.62462E+11,AJ
FN0140403210,30-04-2023,LWBP19203067,1,4.62389E+11,AJ
FN0140403210,30-04-2023,LWSB20213018,1,4.62218E+11,AJ
FN0494301459,30-04-2023,LWOB202103,1,4.62591E+11,AJ
OD227971116335419000,30-04-2023,LWSB192003025,1,YGGGAH5MY3QVCPGK,F
OD327968598502877100,30-04-2023,LWWC16176138,1,WHBFNUGWF4QMNGUP,F
OD427968054811139100,30-04-2023,LWBP20213016,1,SLBFWXWPKBEZQYHU,F
OD227968657453649000,30-04-2023,LWWP2101,1,WSBG3GHFCDDGY9CY,F
OD127972980870803000,30-04-2023,LWSB16173019SP,1,YGGGAH2E989UYKHS,F
OD327971599647809100,30-04-2023,Middle chain blue,1,SLBGM7XTGJRTFQSF,F
OD227970976414683000,30-04-2023,LWSB16173019SP,1,YGGGAH2E989UYKHS,F
