amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-iba 
403-3760761-7369905,,2023-06-17T11:39:29+00:00,2023-06-19T09:36:14+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,NextDay,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,bangalore,KARNATAKA,560076,IN,,FALSE,,,Easy Ship,FALSE
403-4083907-8315522,,2023-06-17T11:24:14+00:00,2023-06-20T04:50:23+00:00,Pending - Waiting for Pick Up,Merchant,Amazon.in,WebsiteOrderChannel,,NextDay,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Unshipped,1,INR,599,64.18,,,,,,,PUNE,MAHARASHTRA,411036,IN,,FALSE,,,Easy Ship,FALSE
405-7653514-3467514,,2023-06-17T11:09:45+00:00,2023-06-19T09:25:55+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Fly Fashion Watch Box Holder Organizer Case in 4 Slots of Watche Case for Men and Women(TAN),4 PLAIN TAN,B0C6MPYKL1,Shipped,1,INR,399,42.75,,,,,,,NEW DELHI,DELHI,110016,IN,,FALSE,,,Easy Ship,FALSE
171-4766904-8224352,,2023-06-17T11:04:42+00:00,2023-06-19T09:25:55+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,GREATER NOIDA,UTTAR PRADESH,201306,IN,,FALSE,,,Easy Ship,FALSE
405-0420462-8813102,,2023-06-17T10:58:29+00:00,2023-06-19T09:36:16+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,Thane,MAHARASHTRA,400612,IN,,FALSE,,,Easy Ship,FALSE
403-3520243-9113158,,2023-06-17T10:56:48+00:00,2023-06-19T09:25:59+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,AMRITSAR,PUNJAB,143001,IN,,FALSE,,,Easy Ship,FALSE
406-6436861-9365168,,2023-06-17T10:45:06+00:00,2023-06-19T09:26:05+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,HYDERABAD,TELANGANA,500090,IN,,FALSE,,,Easy Ship,FALSE
406-7706930-4943542,,2023-06-17T10:35:21+00:00,2023-06-19T09:25:56+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,CHENNAI,TAMIL NADU,600053,IN,,FALSE,,,Easy Ship,FALSE
405-2362499-4031519,,2023-06-17T10:06:29+00:00,2023-06-20T05:34:07+00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,WebsiteOrderChannel,,NextDay,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,MUMBAI,MAHARASHTRA,400068,IN,,FALSE,,,Easy Ship,FALSE
402-3156873-5379546,,2023-06-17T09:52:27+00:00,2023-06-17T19:40:15+00:00,Cancelled,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Fly Fashion Unisex Water-Resistant Stylish Casual Office College Travel Sling One Side Shoulder Bag (Black),FLYBP20213016,B08NTG4GFM,,0,INR,445.54,53.46,,,,,,,KILVELUR,TAMIL NADU,611104,IN,,FALSE,,,Easy Ship,FALSE
404-6034169-5696337,,2023-06-17T09:49:53+00:00,2023-06-19T09:25:57+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,KANHANGAD,KERALA,671315,IN,,FALSE,,,Easy Ship,FALSE
403-8575792-2854746,,2023-06-17T09:38:12+00:00,2023-06-19T09:25:59+00:00,Shipped - Picked Up,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 8 Slots Watch Box Case Leatherette Storage Organizer Men Women (Brown),LGWC20216092,B08M9L4757,Shipped,1,INR,779,83.46,,,,,,,GURUGRAM,HARYANA,122017,IN,,FALSE,,,Easy Ship,FALSE
405-2694709-3859515,,2023-06-17T09:23:39+00:00,2023-06-17T14:24:50+00:00,Cancelled,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,,0,,,,,,,,,,SHRIVARDHAN,MAHARASHTRA,402110,IN,,FALSE,,,Easy Ship,FALSE
405-6977995-2374736,,2023-06-17T09:20:47+00:00,2023-06-17T14:23:23+00:00,Cancelled,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,,0,,,,,,,,,,SHRIVARDHAN,MAHARASHTRA,402110,IN,,FALSE,,,Easy Ship,FALSE
402-9991592-2772343,,2023-06-17T09:18:50+00:00,2023-06-20T04:16:07+00:00,Shipped - Out for Delivery,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,Leather World 6 Slots Watch Box Storage Jewelry Organizer Case for Men Women Vegan Leather Blue,LWWC20216094,B0779BZV2M,Shipped,1,INR,599,64.18,,,,,,,Mumbai,Maharashtra,400086,IN,,FALSE,,,Easy Ship,FALSE
