Return Order No,Cust Return Created Date,JioCode,SELLER_SKU,EAN,Category,Brand,Return QTY,Return Value,Return Reason,Return Sub reason,Return type,Listing Name,Image URL
RT116515510,Tue Jun 20 08:47:01 IST 2023,462329286001,LWOB16171120,8905371649167,Men-Laptop Bags,LEATHER WORLD,1,733.0,Did not like the product,Not happy with product quality,RVP,Textured Laptop Bag,https://assets.ajio.com/medias/sys_master/root/20230602/kgBa/64797fad42f9e729d715e67d/-462329286-black-MODEL.jpg
RT116521165,Tue Jun 20 00:49:23 IST 2023,462218089001,LWSB20213015,8905370901662,Men-Fashion Bags,LEATHER WORLD,1,566.0,Did not like the product,Does not look good on me,RVP,Leather Messenger Bag with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20230602/lspr/64797d20d55b7d0c633fa2b5/-462218089-brown-MODEL.jpg
RT116523054,Mon Jun 19 23:52:49 IST 2023,462418636001,LWHK2020104,8905372938727,Men-Backpacks,LEATHER WORLD,1,630.0,Did not like the product,Not happy with product quality,RVP,Colourblock Back Pack,https://assets.ajio.com/medias/sys_master/root/20230602/gwyu/6479990242f9e729d7196559/-462418636-multi-MODEL.jpg
RT116488714,Mon Jun 19 22:08:32 IST 2023,462469791001,LWWC16176107,8905372446055,Home & Kitchen-Stationery & Organisers,LEATHER WORLD,1,721.0,Did not like the product,Not happy with product quality,RVP, Watch Organiser Box,https://assets.ajio.com/medias/sys_master/root/20230602/1wmv/64798eb1d55b7d0c6341f197/-462469791-brown-MODEL.jpg
RT116502240,Mon Jun 19 21:51:29 IST 2023,462389200001,LWBP19203084,8905372938819,Men-Backpacks,LEATHER WORLD,1,733.0,Defective/Damage Product received,Received damaged,RVP,Textured Back Pack with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20230602/42Xk/64798c3442f9e729d7179a82/-462389200-multi-MODEL.jpg
RT116500284,Mon Jun 19 21:30:46 IST 2023,462389200001,LWBP19203084,8905372938819,Men-Backpacks,LEATHER WORLD,1,733.0,Others,Ordered by mistake,RVP,Textured Back Pack with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20230602/42Xk/64798c3442f9e729d7179a82/-462389200-multi-MODEL.jpg
RT116496257,Mon Jun 19 21:06:16 IST 2023,462504160001,LWBP20213032,8905372049409,Men-Backpacks,FLY FASHION,1,775.0,Size/Colour Issue,Size is smaller than expected,RVP,Colourblock Laptop Back Pack,https://assets.ajio.com/medias/sys_master/root/20230602/NHBz/647987a742f9e729d717029b/-462504160-black-MODEL.jpg
RT116484437,Mon Jun 19 20:45:02 IST 2023,462389205001,LWBP19203067,8905372938802,Men-Backpacks,LEATHER WORLD,1,702.0,Did not like the product,Did not like color,RVP,Textured Everyday Back Pack with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20230602/xdjr/6479976342f9e729d7192a88/-462389205-brown-MODEL.jpg
RT116495158,Mon Jun 19 20:33:26 IST 2023,462507599001,LWBP20213029,8905372049430,Men-Backpacks,FLY FASHION,1,664.0,Did not like the product,Not happy with product quality,RVP,Laptop Backpack with Branding,https://assets.ajio.com/medias/sys_master/root/20230602/F2sG/64799d3ad55b7d0c6343f7c5/-462507599-black-MODEL.jpg
RT116473531,Mon Jun 19 20:03:27 IST 2023,462389061001,LWBP19203068,8905372938796,Men-Backpacks,LEATHER WORLD,1,702.0,Defective/Damage Product received,Received defective merchandise,RVP,Textured Travel Back Pack with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20230602/1JKA/64799eccd55b7d0c634427c1/-462389061-multi-MODEL.jpg
